,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,EDM,BUF,2016-10-16,0,1,0,0.0
1,NYI,ANA,2016-10-16,1,1,1,0.5
2,VAN,CAR,2016-10-16,1,1,1,0.666666666667
3,DET,OTT,2016-10-17,1,1,1,0.75
4,NYR,SJS,2016-10-17,1,1,1,0.8
5,PIT,COL,2016-10-17,0,1,0,0.666666666667
6,WPG,BOS,2016-10-17,0,1,0,0.571428571429
7,WSH,COL,2016-10-18,1,1,1,0.625
8,VAN,STL,2016-10-18,1,1,1,0.666666666667
9,TBL,FLA,2016-10-18,1,1,1,0.7
10,OTT,ARI,2016-10-18,1,1,1,0.727272727273
11,NYI,SJS,2016-10-18,0,1,0,0.666666666667
12,NSH,DAL,2016-10-18,0,1,0,0.615384615385
13,NJD,ANA,2016-10-18,1,1,1,0.642857142857
14,MTL,PIT,2016-10-18,1,1,1,0.666666666667
15,MIN,LAK,2016-10-18,1,1,1,0.6875
16,EDM,CAR,2016-10-18,1,1,1,0.705882352941
17,CHI,PHI,2016-10-18,1,1,1,0.722222222222
18,CGY,BUF,2016-10-18,1,1,1,0.736842105263
19,NYR,DET,2016-10-19,0,1,0,0.7
20,WPG,TOR,2016-10-19,1,1,1,0.714285714286
21,VAN,BUF,2016-10-20,1,1,1,0.727272727273
22,TBL,COL,2016-10-20,0,1,0,0.695652173913
23,PIT,SJS,2016-10-20,1,1,1,0.708333333333
24,PHI,ANA,2016-10-20,0,1,0,0.68
25,MTL,ARI,2016-10-20,1,1,1,0.692307692308
26,FLA,WSH,2016-10-20,0,1,0,0.666666666667
27,EDM,STL,2016-10-20,1,1,1,0.678571428571
28,DAL,LAK,2016-10-20,0,1,0,0.655172413793
29,CGY,CAR,2016-10-20,0,1,0,0.633333333333
30,BOS,NJD,2016-10-20,1,1,1,0.645161290323
31,MIN,TOR,2016-10-20,1,1,1,0.65625
32,CBJ,CHI,2016-10-21,1,1,1,0.666666666667
33,DET,NSH,2016-10-21,1,1,1,0.676470588235
34,NYI,ARI,2016-10-21,1,1,1,0.685714285714
35,DAL,CBJ,2016-10-22,0,1,0,0.666666666667
36,PHI,CAR,2016-10-22,1,1,1,0.675675675676
37,OTT,TBL,2016-10-22,0,1,0,0.657894736842
38,NSH,PIT,2016-10-22,1,1,1,0.666666666667
39,NJD,MIN,2016-10-22,1,1,1,0.675
40,LAK,VAN,2016-10-22,1,1,1,0.682926829268
41,CHI,TOR,2016-10-22,1,1,1,0.690476190476
42,DET,SJS,2016-10-22,1,1,1,0.697674418605
43,WSH,NYR,2016-10-22,0,1,0,0.681818181818
44,CGY,STL,2016-10-22,0,1,0,0.666666666667
45,BOS,MTL,2016-10-22,0,1,0,0.652173913043
46,FLA,COL,2016-10-22,1,1,1,0.659574468085
47,NYI,MIN,2016-10-23,1,1,1,0.666666666667
48,NYR,ARI,2016-10-23,1,1,1,0.673469387755
49,ANA,VAN,2016-10-23,1,1,1,0.68
50,WPG,EDM,2016-10-23,0,1,0,0.666666666667
51,MTL,PHI,2016-10-24,1,1,1,0.673076923077
52,CHI,CGY,2016-10-24,0,1,0,0.660377358491
53,STL,CGY,2016-10-25,0,1,0,0.648148148148
54,BOS,MIN,2016-10-25,0,1,0,0.636363636364
55,DAL,WPG,2016-10-25,1,1,1,0.642857142857
56,DET,CAR,2016-10-25,1,1,1,0.649122807018
57,LAK,CBJ,2016-10-25,1,1,1,0.655172413793
58,NJD,ARI,2016-10-25,1,1,1,0.661016949153
